nombre,categoria,precio,datetime
Aceite de Kodo,Aceite,7163,2021/06/23 15:24:51
Aceite de arroz,Aceite,620,2021/06/23 15:24:52
Aceite de girasol salvaje,Aceite,3764,2021/06/23 15:24:52
Aceite de nuez,Aceite,1688,2021/06/23 15:24:53
Aceite de palma,Aceite,194,2021/06/23 15:24:53
Aceite de sesamo,Aceite,343,2021/06/23 15:24:53
Aceite para freir,Aceite,16,2021/06/23 15:24:54
Agua potable,Liquido,49,2021/06/23 15:24:54
Aguas tranquilas,Liquido,57,2021/06/23 15:24:55
Ala de moskito,Ala,228,2021/06/23 15:24:55
Ala de tofu malefico,Ala,861,2021/06/23 15:24:56
Ala de zumbobo,Ala,96,2021/06/23 15:24:56
Alas de Escarajefe Dorado,Ala,197,2021/06/23 15:24:56
Alas de escarahoja azul,Ala,57,2021/06/23 15:24:57
Alas de escarahoja blanco,Ala,370,2021/06/23 15:24:57
Alas de escarahoja negro,Ala,1145,2021/06/23 15:24:58
Alas de escarahoja rojo,Ala,78,2021/06/23 15:24:58
Alas de escarahoja verde,Ala,154,2021/06/23 15:24:59
Alas rotas,Ala,112,2021/06/23 15:24:59
Aletas de competicion,Recurso,136,2021/06/23 15:24:59
Algodon ancestral,Recurso,522,2021/06/23 15:25:00
Alubias,Semilla,92,2021/06/23 15:25:00
Aluminita,Aleacion,263,2021/06/23 15:25:01
Ambar,Piedra pre ...,,2021/06/23 15:25:01
Ambar de abraknido,Piedra pre ...,131,2021/06/23 15:25:02
Antenas de Escarajefe Dc ...,Recurso,168,2021/06/23 15:25:02
Antenas de escarahoja azul,Recurso,20,2021/06/23 15:25:02
Antenas de escarahoja bl ...,Recurso,39,2021/06/23 15:25:03
Antenas de escarahoja nt ...,Recurso,462,2021/06/23 15:25:03
Antenas de escarahoja rojo,Recurso,62,2021/06/23 15:25:04
Antenas de escarahoja ve ...,Recurso,86,2021/06/23 15:25:04
Antenas de vilinsekto,Recurso,19,2021/06/23 15:25:05
Arakna Mayor Muerta,Recurso,460,2021/06/23 15:25:05
Ardilla de las nieves viva,Recurso,13917,2021/06/23 15:25:05
Artefacto pandawushu de .,Piedra pre ...,82,2021/06/23 15:25:06
Artefacto pandawushu de ..,Piedra pre ...,50,2021/06/23 15:25:06
Artefacto pandawushu de ..,Piedra pre ...,868,2021/06/23 15:25:07
Artefacto pandawushu de ..,Piedra pre ...,329,2021/06/23 15:25:07
Artefacto pandawushu de ..,Piedra pre ...,93,2021/06/23 15:25:08
Avellana,Semilla,10,2021/06/23 15:25:08
Avena,Cereal,,2021/06/23 15:25:09
Avena aurifera,Cereal,6855,2021/06/23 15:25:09
Avetoro menor,Idolo,9323,2021/06/23 15:25:09
Baba de jalato,Liquido,13,2021/06/23 15:25:10
Baba de rosa demoniaca,Liquido,2465,2021/06/23 15:25:10
Bamga,Pescado,,2021/06/23 15:25:11
